"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:51:35:050PM)"
"U.S. Direct Investment Abroad,Financial Outflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"All Countries Total",1078                   ,9525                   ,13045                  ,13388                  ,19641                  ,30154                  ,18599                  ,37604                  ,30982                  ,32696                  ,42647                  ,77247                  ,73252                  ,92074                  ,84426                  ,95769                  ,131004                 ,209392                 ,142627                 ,124873                 ,134946                 ,129352                 ,294905                 ,15369                  ,224220                 ,393518                 ,308296                 ,287901                 ,277779                 ,396569                 ,318196                 ,307927                 ,316549                 
"Canada",-1690                  ,1347                   ,3556                   ,59                      ,2741                   ,6097                   ,2510                   ,1268                   ,3902                   ,1337                   ,2068                   ,3584                   ,6047                   ,8602                   ,7181                   ,7642                   ,7832                   ,22824                  ,16899                  ,16841                  ,15003                  ,17340                  ,24005                  ,13556                  ,-1551                  ,22331                  ,12293                  ,14342                  ,17594                  ,48598                  ,29608                  ,21800                  ,19847                  
"Europe",3470                   ,6467                   ,6119                   ,7993                   ,8260                   ,12035                  ,8431                   ,23679                  ,10194                  ,19563                  ,18931                  ,45914                  ,34380                  ,52275                  ,40148                  ,48318                  ,86129                  ,109484                 ,77976                  ,65580                  ,79492                  ,87509                  ,137319                 ,-29035                 ,147687                 ,239803                 ,178415                 ,165064                 ,175995                 ,235409                 ,158958                 ,161973                 ,171795                 
"  Austria",-91                     ,-8                      ,35                      ,-6                      ,-169                    ,-56                     ,-19                     ,33                      ,54                      ,130                     ,92                      ,-6                      ,744                     ,513                     ,105                     ,-14                     ,1123                   ,167                     ,-780                    ,1314                   ,564                     ,1609                   ,44                      ,-7685                  ,1085                   ,1079                   ,1327                   ,1942                   ,1273                   ,2111                   ,1667                   ,1122                   ,1164                   
"  Belgium",289                     ,-189                    ,353                     ,7                       ,-370                    ,1045                   ,485                     ,669                     ,746                     ,1411                   ,778                     ,675                     ,2004                   ,2750                   ,1349                   ,-46                     ,932                     ,1431                   ,-1508                  ,4126                   ,2195                   ,721                     ,6367                   ,7697                   ,3864                   ,7562                   ,4415                   ,4679                   ,3846                   ,4494                   ,-2798                  ,1658                   ,-1257                  
"  Czech Republic","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",41                      ,125                     ,238                     ,44                      ,172                     ,239                     ,428                     ,69                      ,172                     ,763                     ,-307                    ,1028                   ,647                     ,284                     ,335                     ,640                     
"  Denmark",105                     ,212                     ,42                      ,33                      ,-252                    ,-289                    ,132                     ,"(D)","(D)",219                     ,-29                     ,141                     ,360                     ,-95                     ,454                     ,14                      ,415                     ,1318                   ,1621                   ,256                     ,1538                   ,-1602                  ,843                     ,732                     ,-390                    ,837                     ,1231                   ,716                     ,935                     ,6679                   ,1562                   ,35                      ,991                     
"  Finland",19                      ,30                      ,8                       ,56                      ,6                       ,40                      ,33                      ,"(D)","(D)",-76                     ,28                      ,117                     ,118                     ,158                     ,175                     ,327                     ,309                     ,329                     ,146                     ,179                     ,76                      ,221                     ,333                     ,-6                      ,488                     ,-99                     ,188                     ,72                      ,-420                    ,333                     ,13                      ,-102                    ,-62                     
"  France",76                      ,155                     ,207                     ,828                     ,480                     ,1078                   ,1789                   ,1584                   ,1267                   ,2737                   ,3857                   ,-495                    ,2634                   ,5196                   ,4463                   ,2971                   ,4323                   ,2111                   ,1967                   ,476                     ,4604                   ,1074                   ,6988                   ,-1156                  ,7076                   ,12010                  ,-341                    ,10266                  ,4812                   ,1615                   ,-470                    ,1514                   ,998                     
"  Germany",370                     ,760                     ,447                     ,383                     ,1203                   ,805                     ,-1822                  ,2522                   ,1626                   ,4832                   ,1754                   ,4263                   ,2863                   ,3349                   ,1956                   ,2464                   ,3051                   ,5658                   ,3811                   ,11823                  ,2416                   ,4376                   ,9073                   ,7978                   ,2703                   ,9569                   ,775                     ,7839                   ,5898                   ,8187                   ,1860                   ,-1305                  ,-799                    
"  Greece",-38                     ,-65                     ,-78                     ,-32                     ,65                      ,3                       ,38                      ,-80                     ,33                      ,14                      ,75                      ,67                      ,50                      ,-24                     ,92                      ,69                      ,6                       ,32                      ,106                     ,62                      ,170                     ,44                      ,503                     ,159                     ,292                     ,-201                    ,72                      ,-264                    ,-117                    ,-323                    ,-124                    ,-185                    ,91                      
"  Hungary","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",376                     ,-1863                  ,86                      ,417                     ,235                     ,166                     ,173                     ,698                     ,1596                   ,-13                     ,-119                    ,357                     ,-122                    ,602                     ,-1394                  ,-24                     
"  Ireland",333                     ,479                     ,463                     ,645                     ,606                     ,909                     ,725                     ,793                     ,926                     ,537                     ,1191                   ,1506                   ,-337                    ,695                     ,1954                   ,2266                   ,7891                   ,4741                   ,9823                   ,2437                   ,10700                  ,7408                   ,8781                   ,-15041                 ,20148                  ,15506                  ,31795                  ,23528                  ,28865                  ,26381                  ,30836                  ,31976                  ,58116                  
"  Italy",503                     ,770                     ,723                     ,988                     ,-523                    ,954                     ,755                     ,1657                   ,1219                   ,1508                   ,1159                   ,1427                   ,2646                   ,2506                   ,416                     ,123                     ,-910                    ,3729                   ,6404                   ,1767                   ,1230                   ,2862                   ,3284                   ,-1155                  ,2891                   ,3704                   ,2241                   ,3236                   ,68                      ,2447                   ,1549                   ,-210                    ,939                     
"  Luxembourg",179                     ,205                     ,122                     ,53                      ,27                      ,-47                     ,427                     ,65                      ,-129                    ,-3                      ,217                     ,3686                   ,517                     ,-477                    ,1041                   ,2444                   ,4084                   ,4535                   ,2474                   ,20402                  ,10485                  ,8080                   ,3178                   ,-8797                  ,17359                  ,24535                  ,27079                  ,22194                  ,48156                  ,48113                  ,15622                  ,36925                  ,21099                  
"  Netherlands",-105                    ,443                     ,-51                     ,641                     ,3396                   ,2104                   ,1446                   ,3112                   ,-2004                  ,1654                   ,-1562                  ,1398                   ,7605                   ,9386                   ,6308                   ,12450                  ,22213                  ,13320                  ,961                     ,12025                  ,14790                  ,15502                  ,31455                  ,-19284                 ,41118                  ,109097                 ,38639                  ,51588                  ,44979                  ,86000                  ,48052                  ,52884                  ,41836                  
"  Norway",265                     ,269                     ,-223                    ,359                     ,354                     ,327                     ,438                     ,-1029                  ,-43                     ,112                     ,-374                    ,1235                   ,718                     ,247                     ,913                     ,592                     ,362                     ,435                     ,-878                    ,706                     ,822                     ,961                     ,246                     ,1194                   ,691                     ,964                     ,151                     ,141                     ,3455                   ,4842                   ,4118                   ,-730                    ,-1235                  
"  Poland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",932                     ,512                     ,-93                     ,140                     ,204                     ,1190                   ,"(*)",590                     ,1612                   ,-634                    ,1178                   ,-126                    ,-685                    ,499                     ,519                     ,112                     
"  Portugal",15                      ,5                       ,4                       ,18                      ,50                      ,203                     ,38                      ,"(D)","(D)",193                     ,175                     ,140                     ,252                     ,137                     ,245                     ,86                      ,-16                     ,782                     ,532                     ,252                     ,462                     ,-585                    ,234                     ,426                     ,602                     ,157                     ,244                     ,-112                    ,218                     ,-12                     ,-70                     ,12                      ,141                     
"  Russia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",296                     ,-171                    ,-404                    ,-260                    ,487                     ,1731                   ,2334                   ,1781                   ,2628                   ,2715                   ,447                     ,-3726                  ,953                     ,1688                   ,-750                    ,-472                    
"  Spain",-2                      ,231                     ,12                      ,285                     ,493                     ,498                     ,614                     ,979                     ,460                     ,-29                     ,1468                   ,-759                    ,1551                   ,"(D)",1183                   ,204                     ,1821                   ,5689                   ,2249                   ,1642                   ,3032                   ,1820                   ,2111                   ,3616                   ,-561                    ,8758                   ,4749                   ,956                     ,1949                   ,873                     ,485                     ,3485                   ,2746                   
"  Sweden",-40                     ,-15                     ,-35                     ,-22                     ,21                      ,7                       ,-35                     ,-4                      ,279                     ,162                     ,-17                     ,652                     ,603                     ,"(D)",20                      ,591                     ,1436                   ,6710                   ,14504                  ,-6883                  ,2520                   ,2270                   ,4360                   ,875                     ,2616                   ,2364                   ,4056                   ,-9708                  ,-6757                  ,1656                   ,806                     ,-412                    ,-5976                  
"  Switzerland",775                     ,1577                   ,755                     ,308                     ,235                     ,1458                   ,-1145                  ,1269                   ,5314                   ,930                     ,3260                   ,4566                   ,940                     ,1850                   ,1264                   ,-792                    ,8223                   ,6929                   ,8687                   ,4170                   ,7924                   ,14462                  ,12235                  ,-8545                  ,11019                  ,7365                   ,25168                  ,15383                  ,-353                    ,7439                   ,12091                  ,7158                   ,25451                  
"  Turkey",-22                     ,-17                     ,104                     ,14                      ,3                       ,-11                     ,39                      ,93                      ,149                     ,144                     ,134                     ,279                     ,11                      ,158                     ,131                     ,93                      ,110                     ,533                     ,228                     ,121                     ,239                     ,83                      ,215                     ,196                     ,252                     ,3740                   ,218                     ,703                     ,495                     ,954                     ,1164                   ,486                     ,248                     
"  United Kingdom",754                     ,1636                   ,3309                   ,3437                   ,2728                   ,2966                   ,4576                   ,11825                  ,-202                    ,4665                   ,6215                   ,25355                  ,9615                   ,13830                  ,16421                  ,22961                  ,29094                  ,47265                  ,28317                  ,7890                   ,15265                  ,26738                  ,42359                  ,6269                   ,30535                  ,21978                  ,29615                  ,28940                  ,38839                  ,25605                  ,41790                  ,26650                  ,26319                  
"  Other",84                      ,-14                     ,-78                     ,"(*)",-93                     ,42                      ,-85                     ,"(D)","(D)",424                     ,509                     ,1669                   ,1484                   ,1186                   ,1658                   ,1515                   ,1662                   ,2127                   ,711                     ,2987                   ,119                     ,364                     ,1382                   ,557                     ,2762                   ,4870                   ,3963                   ,1765                   ,2322                   ,7222                   ,-2269                  ,2300                   ,729                     
"Latin America and Other Western Hemisphere",-4079                  ,-2637                  ,992                     ,4128                   ,7574                   ,8598                   ,6460                   ,9094                   ,10141                  ,7194                   ,12751                  ,16895                  ,17710                  ,16040                  ,18138                  ,21539                  ,16699                  ,44658                  ,23212                  ,25691                  ,15192                  ,3901                   ,32418                  ,74                      ,35672                  ,55324                  ,63213                  ,63420                  ,42157                  ,70886                  ,71573                  ,56712                  ,59646                  
"  South America",2398                   ,-552                    ,396                     ,-547                    ,1548                   ,1158                   ,990                     ,3404                   ,1951                   ,2893                   ,3981                   ,5463                   ,8642                   ,11751                  ,7957                   ,11628                  ,6652                   ,12055                  ,8117                   ,2839                   ,-3631                  ,466                     ,4424                   ,5347                   ,6584                   ,12754                  ,11205                  ,12494                  ,13116                  ,19101                  ,18768                  ,7906                   ,7220                   
"    Argentina",163                     ,-79                     ,54                      ,2                       ,271                     ,13                      ,91                      ,59                      ,379                     ,367                     ,558                     ,1079                   ,1455                   ,2048                   ,371                     ,1701                   ,983                     ,2954                   ,675                     ,-511                    ,-1445                  ,-118                    ,1760                   ,859                     ,4274                   ,547                     ,1542                   ,1209                   ,-2772                  ,2531                   ,1293                   ,1810                   ,902                     
"    Brazil",1208                   ,-232                    ,477                     ,156                     ,255                     ,1185                   ,2151                   ,3014                   ,876                     ,890                     ,2054                   ,3263                   ,3338                   ,6954                   ,4159                   ,7138                   ,4382                   ,5672                   ,3350                   ,113                     ,-266                    ,-290                    ,2644                   ,1400                   ,223                     ,5585                   ,3825                   ,3500                   ,9643                   ,9941                   ,7940                   ,709                     ,5018                   
"    Chile",-109                    ,-183                    ,1                       ,93                      ,130                     ,142                     ,273                     ,583                     ,520                     ,174                     ,106                     ,198                     ,1875                   ,1291                   ,1860                   ,926                     ,324                     ,428                     ,197                     ,2746                   ,-1507                  ,202                     ,912                     ,-425                    ,451                     ,4402                   ,3099                   ,1892                   ,4611                   ,4422                   ,3740                   ,2704                   ,292                     
"    Colombia",444                     ,386                     ,-1                      ,-389                    ,227                     ,-160                    ,-1045                  ,-152                    ,77                      ,33                      ,406                     ,4                       ,336                     ,164                     ,120                     ,746                     ,-66                     ,593                     ,341                     ,-224                    ,-88                     ,504                     ,20                      ,1196                   ,855                     ,404                     ,1900                   ,1712                   ,238                     ,486                     ,1506                   ,661                     ,302                     
"    Ecuador",79                      ,49                      ,-67                     ,-31                     ,137                     ,72                      ,-47                     ,-41                     ,-32                     ,49                      ,12                      ,253                     ,218                     ,113                     ,32                      ,-269                    ,233                     ,82                      ,-322                    ,108                     ,178                     ,243                     ,-837                    ,73                      ,20                      ,-43                     ,128                     ,196                     ,103                     ,101                     ,-28                     ,8                       ,64                      
"    Peru",193                     ,33                      ,-84                     ,-212                    ,-108                    ,-35                     ,-45                     ,-102                    ,-83                     ,-44                     ,-3                      ,-8                      ,283                     ,334                     ,700                     ,241                     ,50                      ,794                     ,-19                     ,100                     ,-442                    ,296                     ,479                     ,899                     ,229                     ,679                     ,-577                    ,1035                   ,805                     ,-633                    ,1980                   ,262                     ,1215                   
"    Venezuela",402                     ,-476                    ,53                      ,-189                    ,554                     ,-30                     ,-278                    ,32                      ,177                     ,1245                   ,692                     ,555                     ,1021                   ,654                     ,775                     ,668                     ,622                     ,1396                   ,3798                   ,461                     ,150                     ,-462                    ,-389                    ,1312                   ,508                     ,1044                   ,1115                   ,2782                   ,470                     ,2188                   ,2201                   ,1809                   ,-771                    
"    Other",19                      ,-50                     ,-38                     ,24                      ,83                      ,-28                     ,-109                    ,10                      ,37                      ,179                     ,155                     ,120                     ,115                     ,192                     ,-59                     ,479                     ,123                     ,135                     ,95                      ,44                      ,-212                    ,91                      ,-166                    ,34                      ,23                      ,137                     ,174                     ,169                     ,18                      ,65                      ,136                     ,-57                     ,198                     
"  Central America",482                     ,-42                     ,207                     ,-10                     ,-116                    ,1411                   ,1011                   ,1299                   ,2611                   ,2759                   ,1846                   ,3253                   ,5469                   ,4044                   ,3810                   ,6448                   ,6363                   ,10766                  ,6135                   ,14401                  ,8529                   ,4192                   ,8874                   ,8873                   ,10990                  ,13808                  ,8653                   ,8081                   ,302                     ,8179                   ,11721                  ,7461                   ,9501                   
"    Costa Rica","(*)",31                      ,-3                      ,-32                     ,17                      ,36                      ,36                      ,31                      ,43                      ,-37                     ,-147                    ,38                      ,194                     ,271                     ,362                     ,316                     ,607                     ,-474                    ,431                     ,17                      ,63                      ,75                      ,291                     ,-1017                  ,1412                   ,172                     ,574                     ,-197                    ,-79                     ,205                     ,63                      ,-103                    ,159                     
"    Guatemala",-22                     ,-21                     ,37                      ,-20                     ,-65                     ,-6                      ,13                      ,14                      ,10                      ,-16                     ,5                       ,31                      ,16                      ,36                      ,100                     ,24                      ,204                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Honduras",33                      ,-33                     ,71                      ,-111                    ,-4                      ,2                       ,55                      ,11                      ,3                       ,-2                      ,-16                     ,-51                     ,32                      ,-8                      ,-26                     ,43                      ,-53                     ,197                     ,59                      ,-157                    ,22                      ,83                      ,193                     ,88                      ,36                      ,71                      ,173                     ,20                      ,200                     ,-107                    ,75                      ,49                      ,-25                     
"    Mexico",107                     ,-491                    ,204                     ,226                     ,-339                    ,393                     ,750                     ,1652                   ,1926                   ,2321                   ,1320                   ,2516                   ,4457                   ,2983                   ,2405                   ,5596                   ,4593                   ,8164                   ,4203                   ,14226                  ,7656                   ,3664                   ,8435                   ,9596                   ,9444                   ,9798                   ,4521                   ,7100                   ,825                     ,7840                   ,11635                  ,7349                   ,9311                   
"    Panama",400                     ,514                     ,-120                    ,-56                     ,259                     ,937                     ,125                     ,-430                    ,612                     ,527                     ,677                     ,668                     ,773                     ,781                     ,920                     ,354                     ,682                     ,2571                   ,1328                   ,808                     ,530                     ,353                     ,-71                     ,106                     ,214                     ,1218                   ,845                     ,809                     ,-759                    ,119                     ,-31                     ,-68                     ,28                      
"    Other",-36                     ,-43                     ,18                      ,-18                     ,16                      ,47                      ,32                      ,21                      ,15                      ,-34                     ,8                       ,51                      ,-3                      ,-19                     ,48                      ,116                     ,331                     ,308                     ,114                     ,-493                    ,258                     ,17                      ,26                      ,99                      ,-114                    ,2549                   ,2541                   ,350                     ,115                     ,121                     ,-21                     ,234                     ,29                      
"  Other Western Hemisphere",-6959                  ,-2043                  ,390                     ,4685                   ,6141                   ,6029                   ,4458                   ,4392                   ,5580                   ,1541                   ,6924                   ,8179                   ,3598                   ,245                     ,6371                   ,3463                   ,3684                   ,21838                  ,8959                   ,8451                   ,10294                  ,-757                    ,19120                  ,-14145                 ,18099                  ,28762                  ,43354                  ,42845                  ,28739                  ,43606                  ,41084                  ,41345                  ,42925                  
"    Bahamas",-104                    ,604                     ,253                     ,-54                     ,-819                    ,-120                    ,470                     ,-61                     ,-32                     ,-225                    ,510                     ,508                     ,52                      ,-537                    ,-55                     ,-323                    ,-826                    ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Barbados",4                       ,6                       ,-8                      ,59                      ,74                      ,8                       ,134                     ,-37                     ,111                     ,41                      ,156                     ,132                     ,65                      ,248                     ,164                     ,-39                     ,115                     ,1476                   ,-813                    ,903                     ,-563                    ,-522                    ,1526                   ,266                     ,503                     ,-3595                  ,1047                   ,1037                   ,1747                   ,4664                   ,3340                   ,1459                   ,872                     
"    Bermuda",945                     ,-62                     ,1178                   ,325                     ,1338                   ,2795                   ,621                     ,-502                    ,1431                   ,2797                   ,2828                   ,3995                   ,897                     ,275                     ,3170                   ,589                     ,2358                   ,6871                   ,9363                   ,7007                   ,4313                   ,-3778                  ,4365                   ,-1000                  ,19944                  ,14785                  ,7824                   ,29149                  ,12976                  ,21072                  ,11991                  ,17676                  ,16460                  
"    Dominican Republic",28                      ,60                      ,10                      ,20                      ,-5                      ,-82                     ,16                      ,"(D)","(D)",143                     ,131                     ,217                     ,-15                     ,69                      ,66                      ,91                      ,75                      ,125                     ,175                     ,217                     ,-3                      ,-99                     ,24                      ,-175                    ,-4                      ,22                      ,-124                    ,124                     ,252                     ,103                     ,133                     ,117                     ,64                      
"    Jamaica",-24                     ,-83                     ,-57                     ,-127                    ,-27                     ,-23                     ,14                      ,277                     ,283                     ,144                     ,137                     ,173                     ,210                     ,116                     ,292                     ,264                     ,215                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Netherlands Antilles",-8620                  ,-3030                  ,-1931                  ,3882                   ,5191                   ,3114                   ,3526                   ,3814                   ,3885                   ,-695                    ,3572                   ,2334                   ,1112                   ,43                      ,751                     ,-1176                  ,-116                    ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Trinidad and Tobago",97                      ,-73                     ,-202                    ,-121                    ,-88                     ,-28                     ,-18                     ,"(D)","(D)",-2                      ,55                      ,122                     ,77                      ,151                     ,50                      ,-214                    ,395                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",595                     ,648                     ,1149                   ,697                     ,456                     ,342                     ,-291                    ,817                     ,-363                    ,-551                    ,-87                     ,125                     ,1386                   ,50                      ,1847                   ,4062                   ,1571                   ,11264                  ,989                     ,-1129                  ,6146                   ,3314                   ,10131                  ,-12586                 ,-6374                  ,12640                  ,25914                  ,7746                   ,10926                  ,11588                  ,25339                  ,20334                  ,24319                  
"    Other",119                     ,-113                    ,-2                      ,3                       ,20                      ,23                      ,-13                     ,-116                    ,145                     ,-110                    ,-377                    ,573                     ,-186                    ,-170                    ,86                      ,211                     ,-104                    ,2100                   ,-754                    ,1452                   ,401                     ,328                     ,3075                   ,-651                    ,4029                   ,4910                   ,8693                   ,4788                   ,2838                   ,6179                   ,281                     ,1759                   ,1210                   
"Africa",672                     ,34                      ,432                     ,-72                     ,-167                    ,155                     ,-607                    ,-554                    ,-450                    ,75                      ,-84                     ,837                     ,762                     ,352                     ,1678                   ,3436                   ,3075                   ,596                     ,716                     ,2438                   ,-578                    ,2697                   ,1611                   ,2564                   ,5157                   ,4490                   ,3837                   ,10417                  ,7442                   ,5340                   ,2624                   ,1601                   ,4748                   
"  Egypt",139                     ,193                     ,114                     ,372                     ,-94                     ,-151                    ,-102                    ,42                      ,-292                    ,-28                     ,65                      ,-32                     ,46                      ,-1                      ,118                     ,259                     ,575                     ,-190                    ,-99                     ,578                     ,127                     ,470                     ,447                     ,1112                   ,54                      ,996                     ,1617                   ,1512                   ,1919                   ,2331                   ,2250                   ,1739                   ,2577                   
