"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:52:37:710PM)"
"U.S. Direct Investment Abroad,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"All Countries Total",24828                  ,27260                  ,30746                  ,28778                  ,31040                  ,40028                  ,52057                  ,53929                  ,58004                  ,52087                  ,50565                  ,59381                  ,68987                  ,87346                  ,93594                  ,104794                 ,90676                  ,114348                 ,133692                 ,110029                 ,124940                 ,165203                 ,228165                 ,271877                 ,304114                 ,350237                 ,392954                 ,340039                 ,417605                 ,448235                 ,438089                 ,450619                 ,448942                 
"Canada",2908                   ,5309                   ,6066                   ,5197                   ,5092                   ,5600                   ,7363                   ,6501                   ,4793                   ,3208                   ,2766                   ,3959                   ,6251                   ,8799                   ,9258                   ,11024                  ,7601                   ,13529                  ,16181                  ,11836                  ,13297                  ,15826                  ,22835                  ,20712                  ,23542                  ,21170                  ,31419                  ,15145                  ,25253                  ,35946                  ,32248                  ,32584                  ,28902                  
"Europe",9573                   ,11869                  ,13210                  ,14204                  ,16832                  ,21718                  ,26580                  ,27637                  ,32647                  ,27963                  ,21758                  ,26660                  ,30541                  ,40853                  ,44286                  ,48333                  ,50695                  ,58289                  ,65574                  ,53524                  ,64777                  ,86480                  ,114349                 ,136038                 ,153702                 ,175702                 ,196977                 ,179279                 ,216892                 ,217478                 ,222169                 ,231957                 ,239947                 
"  Austria",-119                    ,9                       ,69                      ,47                      ,76                      ,143                     ,223                     ,233                     ,308                     ,303                     ,167                     ,220                     ,284                     ,415                     ,352                     ,376                     ,448                     ,494                     ,511                     ,242                     ,152                     ,411                     ,631                     ,1855                   ,3070                   ,2658                   ,2243                   ,1497                   ,2345                   ,2302                   ,2197                   ,1376                   ,1344                   
"  Belgium",403                     ,515                     ,612                     ,634                     ,1011                   ,1187                   ,1376                   ,1169                   ,1597                   ,1692                   ,1156                   ,1025                   ,1590                   ,1757                   ,1517                   ,1450                   ,1664                   ,1534                   ,1941                   ,1728                   ,1489                   ,1952                   ,3305                   ,3190                   ,3401                   ,4304                   ,2947                   ,2325                   ,1891                   ,2585                   ,2238                   ,3162                   ,3610                   
"  Czech Republic","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",85                      ,93                      ,98                      ,78                      ,160                     ,356                     ,261                     ,509                     ,558                     ,632                     ,621                     ,787                     ,798                     ,634                     ,515                     ,797                     
"  Denmark",110                     ,157                     ,156                     ,132                     ,190                     ,135                     ,129                     ,163                     ,234                     ,189                     ,121                     ,113                     ,233                     ,270                     ,236                     ,317                     ,370                     ,476                     ,747                     ,570                     ,518                     ,747                     ,931                     ,1146                   ,1029                   ,1581                   ,1659                   ,1863                   ,1879                   ,493                     ,947                     ,354                     ,877                     
"  Finland",33                      ,50                      ,54                      ,71                      ,73                      ,109                     ,118                     ,110                     ,94                      ,17                      ,40                      ,28                      ,60                      ,195                     ,188                     ,306                     ,305                     ,224                     ,177                     ,298                     ,193                     ,359                     ,323                     ,556                     ,216                     ,203                     ,261                     ,73                      ,89                      ,163                     ,88                      ,"(*)",38                      
"  France",252                     ,592                     ,894                     ,881                     ,1213                   ,1551                   ,2087                   ,2163                   ,2494                   ,2171                   ,1498                   ,1319                   ,1237                   ,2707                   ,3224                   ,2688                   ,2164                   ,1781                   ,2370                   ,1697                   ,2699                   ,4034                   ,5172                   ,4475                   ,5801                   ,5494                   ,5774                   ,2746                   ,4516                   ,3404                   ,2174                   ,2898                   ,4100                   
