"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:49:04:500PM)"
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"All Countries Total",207752                 ,212150                 ,218093                 ,238369                 ,270472                 ,326253                 ,347179                 ,381781                 ,430521                 ,467844                 ,502063                 ,564283                 ,612893                 ,699015                 ,795195                 ,871316                 ,1000703               ,1215960               ,1316247               ,1460352               ,1616548               ,1769613               ,2160844               ,2241656               ,2477268               ,2993980               ,3232493               ,3565020               ,3741910               ,4050026               ,4410015               ,4693348               ,4920653               
"Canada",43511                  ,44779                  ,47498                  ,47934                  ,52006                  ,59145                  ,63900                  ,63948                  ,69508                  ,70711                  ,68690                  ,69922                  ,74221                  ,83498                  ,89592                  ,96626                  ,98200                  ,119590                 ,132472                 ,152601                 ,166473                 ,187953                 ,214931                 ,231836                 ,205134                 ,250642                 ,246483                 ,274807                 ,295206                 ,330041                 ,366709                 ,390172                 ,386121                 
"Europe",92449                  ,94400                  ,94388                  ,108664                 ,125613                 ,156003                 ,163138                 ,189467                 ,214739                 ,235163                 ,248744                 ,285735                 ,297133                 ,344596                 ,389378                 ,425139                 ,518433                 ,627754                 ,687320                 ,771936                 ,859378                 ,976889                 ,1180130               ,1210679               ,1397704               ,1682023               ,1844182               ,1991191               ,2034559               ,2246394               ,2445652               ,2650757               ,2781666               
"  Austria",562                     ,548                     ,534                     ,509                     ,736                     ,711                     ,697                     ,962                     ,1113                   ,1268                   ,1371                   ,1312                   ,2197                   ,2829                   ,2854                   ,2646                   ,3856                   ,3848                   ,2872                   ,3964                   ,4011                   ,6366                   ,9264                   ,11236                  ,14897                  ,14646                  ,13546                  ,10954                  ,11485                  ,12556                  ,14327                  ,15641                  ,15787                  
"  Belgium",5549                   ,5087                   ,5202                   ,5619                   ,5568                   ,7719                   ,7830                   ,7710                   ,9464                   ,10611                  ,11381                  ,11697                  ,14714                  ,18706                  ,18740                  ,17337                  ,17899                  ,21756                  ,17973                  ,22589                  ,25727                  ,27415                  ,41840                  ,49306                  ,51862                  ,62491                  ,65279                  ,46610                  ,43975                  ,50984                  ,49144                  ,51702                  ,48128                  
"  Czech Republic","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",1038                   ,1228                   ,1179                   ,1264                   ,1668                   ,2444                   ,2729                   ,3615                   ,4066                   ,5053                   ,5372                   ,5268                   ,5840                   ,6016                   ,6990                   ,7247                   
"  Denmark",1155                   ,1275                   ,1263                   ,1383                   ,1164                   ,1120                   ,1182                   ,"(D)",1726                   ,1940                   ,1676                   ,1735                   ,2030                   ,2161                   ,2554                   ,2385                   ,2764                   ,3846                   ,5270                   ,5160                   ,6184                   ,5597                   ,6815                   ,6914                   ,5849                   ,8950                   ,10481                  ,13053                  ,11802                  ,14942                  ,14306                  ,13605                  ,14108                  
"  Finland",178                     ,199                     ,193                     ,268                     ,306                     ,404                     ,426                     ,"(D)",544                     ,386                     ,343                     ,414                     ,761                     ,965                     ,1070                   ,1311                   ,1628                   ,1379                   ,1342                   ,1686                   ,1722                   ,1677                   ,2208                   ,1950                   ,2107                   ,2202                   ,2012                   ,1659                   ,1597                   ,2123                   ,2007                   ,1919                   ,1784                   
"  France",7391                   ,6613                   ,6434                   ,7747                   ,9323                   ,12335                  ,13576                  ,16443                  ,19164                  ,21569                  ,25157                  ,24312                  ,27322                  ,33358                  ,35200                  ,36630                  ,42328                  ,43120                  ,42628                  ,40125                  ,43348                  ,51229                  ,63359                  ,60526                  ,63008                  ,74179                  ,84409                  ,90879                  ,78320                  ,76283                  ,75185                  ,77690                  ,76823                  
