"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:41:50:703PM)"
"Foreign Direct Investment in the U.S.,Financial Inflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"All Countries Total",16918                  ,25195                  ,13810                  ,11518                  ,25567                  ,20490                  ,36145                  ,59581                  ,58571                  ,69010                  ,48422                  ,22799                  ,19222                  ,50663                  ,45095                  ,58772                  ,84455                  ,103398                 ,174434                 ,283376                 ,314007                 ,159461                 ,74457                  ,53146                  ,135826                 ,104773                 ,237136                 ,215952                 ,306366                 ,143604                 ,198049                 ,229862                 ,188427                 ,211501                 ,106614                 
"Canada",3278                   ,2127                   ,-1516                  ,170                     ,3435                   ,774                     ,2526                   ,4336                   ,1852                   ,1793                   ,1821                   ,103                     ,2002                   ,3753                   ,4584                   ,4824                   ,8590                   ,8380                   ,15959                  ,26367                  ,27258                  ,9173                   ,4611                   ,7090                   ,33164                  ,14868                  ,14770                  ,43867                  ,16794                  ,30366                  ,7357                   ,18790                  ,16398                  ,24153                  ,21116                  
"Europe",9805                   ,14969                  ,10448                  ,8919                   ,14890                  ,13521                  ,22527                  ,46303                  ,31852                  ,43046                  ,21549                  ,12013                  ,9181                   ,39421                  ,29168                  ,39686                  ,55989                  ,75603                  ,153111                 ,223406                 ,251041                 ,140661                 ,45368                  ,22756                  ,80730                  ,77896                  ,182575                 ,124552                 ,234331                 ,99073                  ,151055                 ,128687                 ,137934                 ,120814                 ,29807                  
"  Austria","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",66                      ,30                      ,290                     ,227                     ,-114                    ,-9                      ,32                      ,121                     ,248                     ,175                     ,80                      ,208                     ,429                     ,-161                    ,-189                    ,1118                   ,42                      ,241                     ,-1033                  ,-179                    ,590                     ,370                     ,"(D)",136                     ,177                     ,434                     ,620                     ,873                     
"  Belgium",263                     ,323                     ,35                      ,317                     ,302                     ,-28                     ,680                     ,351                     ,460                     ,467                     ,115                     ,-584                    ,819                     ,-443                    ,818                     ,-68                     ,354                     ,1714                   ,3449                   ,1371                   ,3923                   ,243                     ,-2712                  ,1770                   ,1299                   ,-1561                  ,541                     ,12835                  ,-989                    ,13262                  ,5640                   ,10284                  ,12311                  ,-7662                  ,1329                   
"  Denmark","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",19                      ,84                      ,47                      ,165                     ,-428                    ,446                     ,654                     ,357                     ,650                     ,-420                    ,569                     ,493                     ,1314                   ,-544                    ,-880                    ,3035                   ,570                     ,158                     ,1009                   ,893                     ,184                     ,548                     ,1171                   ,1472                   ,462                     ,251                     ,1985                   ,2775                   
"  Denmark, Greece, and Ireland",37                      ,81                      ,50                      ,116                     ,187                     ,414                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Finland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",70                      ,123                     ,998                     ,386                     ,27                      ,324                     ,-30                     ,535                     ,619                     ,-47                     ,1205                   ,255                     ,1314                   ,4407                   ,-1030                  ,-598                    ,-801                    ,17                      ,416                     ,1017                   ,-1566                  ,6868                   ,"(D)",-179                    ,660                     ,-218                    ,553                     ,-1105                  
"  France",675                     ,1961                   ,-220                    ,-133                    ,776                     ,35                      ,980                     ,3155                   ,3122                   ,2744                   ,5987                   ,4407                   ,178                     ,6641                   ,4394                   ,2725                   ,7244                   ,10951                  ,11368                  ,29834                  ,51001                  ,14546                  ,4624                   ,4526                   ,10706                  ,10053                  ,29078                  ,5808                   ,12950                  ,25369                  ,8865                   ,795                     ,25510                  ,-3765                  ,12882                  
"  Germany",219                     ,1702                   ,473                     ,1011                   ,1219                   ,2056                   ,2186                   ,4591                   ,2245                   ,3738                   ,585                     ,2160                   ,1307                   ,7802                   ,6116                   ,7908                   ,19616                  ,11110                  ,42986                  ,23478                  ,14054                  ,40206                  ,1990                   ,12280                  ,7079                   ,12101                  ,39540                  ,-12690                 ,17122                  ,12320                  ,18760                  ,16396                  ,6709                   ,16348                  ,19124                  
"  Ireland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",100                     ,295                     ,1008                   ,-138                    ,20                      ,300                     ,2983                   ,1430                   ,1657                   ,2544                   ,4795                   ,2386                   ,287                     ,5060                   ,1882                   ,1990                   ,-4754                  ,-5241                  ,1876                   ,6538                   ,4974                   ,-341                    ,-1348                  ,5417                   ,-1696                  ,-1128                  ,9344                   ,1207                   
