"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:44:30:110PM)"
"Foreign Direct Investment in the U.S.,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"All Countries Total",8635                   ,6898                   ,3174                   ,5169                   ,9437                   ,7548                   ,7433                   ,8659                   ,12774                  ,7491                   ,2936                   ,-2856                  ,1401                   ,7071                   ,20880                  ,30931                  ,30407                  ,39945                  ,32402                  ,46385                  ,47921                  ,3919                   ,32297                  ,60964                  ,87890                  ,110324                 ,144755                 ,120960                 ,125721                 ,97990                  ,145088                 ,165968                 ,163969                 ,164529                 ,163900                 
"Canada",1850                   ,108                     ,-780                    ,-35                     ,444                     ,211                     ,370                     ,778                     ,589                     ,-855                    ,57                      ,-1198                  ,441                     ,1367                   ,2871                   ,3658                   ,3190                   ,2701                   ,1382                   ,2215                   ,849                     ,-5223                  ,-1703                  ,2306                   ,6607                   ,6075                   ,14555                  ,9793                   ,8716                   ,4755                   ,10932                  ,12805                  ,12417                  ,16134                  ,12347                  
"Europe",5106                   ,5063                   ,2925                   ,4258                   ,7258                   ,5968                   ,6498                   ,7720                   ,10604                  ,8485                   ,4400                   ,2098                   ,5382                   ,8361                   ,16161                  ,21745                  ,23724                  ,30446                  ,25495                  ,36753                  ,38766                  ,13964                  ,26696                  ,48711                  ,61377                  ,80684                  ,98286                  ,80219                  ,105670                 ,83184                  ,109274                 ,123622                 ,120899                 ,116613                 ,110781                 
"  Austria","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-8                      ,-41                     ,-86                     ,-136                    ,-152                    ,-94                     ,-61                     ,18                      ,106                     ,120                     ,133                     ,429                     ,312                     ,-169                    ,-94                     ,118                     ,113                     ,6                       ,25                      ,-117                    ,349                     ,406                     ,331                     ,340                     ,310                     ,453                     ,580                     ,468                     
"  Belgium",134                     ,309                     ,206                     ,250                     ,239                     ,222                     ,60                      ,384                     ,302                     ,317                     ,165                     ,-100                    ,104                     ,191                     ,254                     ,329                     ,325                     ,306                     ,383                     ,389                     ,433                     ,169                     ,782                     ,578                     ,524                     ,666                     ,1093                   ,2202                   ,1786                   ,1886                   ,2842                   ,3732                   ,4777                   ,6286                   ,5499                   
"  Denmark","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-4                      ,-7                      ,-5                      ,-49                     ,-53                     ,-112                    ,-95                     ,27                      ,177                     ,77                      ,185                     ,191                     ,-299                    ,215                     ,"(*)",174                     ,363                     ,336                     ,551                     ,567                     ,494                     ,92                      ,-14                     ,363                     ,660                     ,881                     ,909                     ,1059                   
"  Denmark, Greece, and Ireland",14                      ,22                      ,21                      ,10                      ,47                      ,71                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Finland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-7                      ,-11                     ,-18                     ,-100                    ,-84                     ,24                      ,-4                      ,34                      ,-46                     ,114                     ,263                     ,211                     ,327                     ,155                     ,-115                    ,185                     ,163                     ,306                     ,107                     ,742                     ,289                     ,605                     ,611                     ,495                     ,576                     ,127                     ,458                     ,495                     
"  France",224                     ,-43                     ,-410                    ,-348                    ,-177                    ,-151                    ,17                      ,137                     ,345                     ,209                     ,-915                    ,-480                    ,-340                    ,-158                    ,-84                     ,1729                   ,2405                   ,2856                   ,1691                   ,2954                   ,3633                   ,4024                   ,3763                   ,6526                   ,8401                   ,11218                  ,14550                  ,5640                   ,13054                  ,14237                  ,14237                  ,12035                  ,14410                  ,14750                  ,14043                  
"  Germany",-85                     ,53                      ,-437                    ,155                     ,731                     ,369                     ,181                     ,-5                      ,414                     ,305                     ,-147                    ,-788                    ,-922                    ,133                     ,2217                   ,1642                   ,2509                   ,3293                   ,4348                   ,6123                   ,2140                   ,-7787                  ,-3767                  ,2183                   ,7557                   ,6053                   ,10324                  ,3200                   ,15216                  ,11129                  ,18302                  ,17867                  ,15752                  ,12791                  ,9138                   
"  Ireland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",90                      ,143                     ,125                     ,-24                     ,-149                    ,85                      ,93                      ,168                     ,360                     ,530                     ,540                     ,840                     ,1008                   ,848                     ,562                     ,1039                   ,538                     ,331                     ,1031                   ,1930                   ,1702                   ,915                     ,620                     ,1015                   ,905                     ,2224                   ,1924                   ,2892                   
"  Italy",24                      ,-20                     ,-20                     ,-25                     ,51                      ,-42                     ,-22                     ,-84                     ,15                      ,-171                    ,-274                    ,-276                    ,-292                    ,-55                     ,89                      ,153                     ,266                     ,282                     ,218                     ,446                     ,133                     ,-228                    ,-6                      ,421                     ,544                     ,598                     ,697                     ,839                     ,1634                   ,489                     ,1177                   ,1707                   ,2021                   ,1683                   ,2184                   
